iteration,objective_fit_seconds,objective_draw_seconds,pof_fit_seconds,candidate_generation_seconds,acquisition_seconds,expensive_evaluation_seconds,iteration_seconds
1,0.1558766,0.044935900000000001,0.076477400000000001,0.040726100000000001,1.1813085999999999,0.0033863000000000001,1.5094774
2,0.0748529,0.015081799999999999,0.0095869000000000006,0.017228299999999998,0.22693060000000001,0.0018818999999999999,0.34813889999999997
3,0.052910400000000003,0.010160000000000001,0.0064831000000000003,0.0078743000000000007,0.2291194,0.00091859999999999999,0.309253
4,0.0312961,0.0023476,0.0036283000000000001,0.0039744999999999997,0.1373915,0.0022989,0.1901911
5,0.037302799999999997,0.0029686000000000001,0.020595499999999999,0.010545300000000001,0.23808660000000001,0.0033,0.31936789999999998
6,0.030200500000000002,0.0021378999999999999,0.0012799,0.0025146999999999999,0.0932447,0.00013229999999999999,0.12992020000000001
7,0.0281263,0.0024082000000000001,0.00082899999999999998,0.0022872999999999999,0.1388452,9.4599999999999996e-05,0.17288120000000001
8,0.034590099999999999,0.0026928999999999998,0.0011429000000000001,0.0026277000000000002,0.16379669999999999,0.0001098,0.20530979999999999
9,0.031019399999999999,0.0024313,0.00087350000000000004,0.0025138000000000001,0.19024250000000001,9.6399999999999999e-05,0.2274621
10,0.0314177,0.0022236999999999999,0.00089680000000000001,0.0023113999999999999,0.20354559999999999,7.7999999999999999e-05,0.2407146
11,0.030897999999999998,0.0020847000000000001,0.0008541,0.0022577999999999999,0.16044520000000001,8.7700000000000004e-05,0.19686980000000001
12,0.031553600000000001,0.0020563999999999999,0.00086120000000000001,0.0024011000000000002,0.13218179999999999,0.00011459999999999999,0.16948460000000001
13,0.0480948,0.0025906000000000002,0.0013577000000000001,0.0029895,0.1737793,9.9300000000000001e-05,0.22926389999999999
14,0.038716599999999997,0.0023508000000000001,0.0010555,0.0026987999999999999,0.22101480000000001,0.0001004,0.26624769999999998
15,0.042084999999999997,0.0026367000000000001,0.0010734,0.0026930999999999999,0.19857089999999999,9.87e-05,0.24749199999999999
16,0.037855399999999997,0.0023462000000000001,0.0010505,0.0026526000000000002,0.1349978,8.2999999999999998e-05,0.1792484
17,0.054947999999999997,0.0029294,0.0010907,0.0026543000000000001,0.1878204,0.0001,0.2498621
18,0.040313599999999998,0.0024142999999999999,0.0010705000000000001,0.0026337999999999999,0.10892739999999999,9.8200000000000002e-05,0.15582650000000001
19,0.046076400000000003,0.0023808000000000002,0.0012409999999999999,0.0028888,0.2001993,8.5400000000000002e-05,0.25321179999999999
20,0.054261799999999999,0.0027772999999999999,0.0011776,0.0026507000000000002,0.1711712,9.7999999999999997e-05,0.2324628
21,0.063233899999999996,0.0025576000000000002,0.0012235,0.0027353999999999998,0.120258,0.00010009999999999999,0.19043560000000001
22,0.068586099999999997,0.0025723,0.0014139999999999999,0.0028348000000000002,0.2030004,8.7700000000000004e-05,0.27877829999999998
23,0.059590499999999998,0.0023633,0.0012937999999999999,0.0023598999999999998,0.18862100000000001,9.5400000000000001e-05,0.2545866
24,0.059141899999999997,0.0024459,0.0013029000000000001,0.0026478999999999999,0.1229904,9.0199999999999997e-05,0.18888750000000001
25,0.059683300000000002,0.0022704000000000001,0.0011967,0.0026510000000000001,0.21074480000000001,8.03e-05,0.27690740000000003
26,0.059911899999999997,0.0021749,0.0012836,0.0025569,0.1623193,9.1899999999999998e-05,0.22861380000000001
27,0.064626799999999998,0.0024929000000000002,0.0012907999999999999,0.0031556000000000002,0.13402549999999999,8.5199999999999997e-05,0.2059695
28,0.070455900000000002,0.0024088999999999998,0.001508,0.0026088000000000001,0.16228490000000001,8.2399999999999997e-05,0.23963139999999999
29,0.065643300000000002,0.0022648999999999998,0.0012451999999999999,0.0025165999999999999,0.10736469999999999,7.8499999999999997e-05,0.17937939999999999
30,0.072203000000000003,0.0026134000000000001,0.0012891000000000001,0.0026862000000000001,0.1488776,7.7600000000000002e-05,0.22802420000000001
