evaluation_index,added_iteration,selection_source,is_feasible
1,0,"initial",1
2,0,"initial",1
3,0,"initial",1
4,0,"initial",0
5,0,"initial",1
6,0,"initial",1
7,0,"initial",0
8,0,"initial",0
9,0,"initial",0
10,0,"initial",1
11,0,"initial",0
12,0,"initial",0
13,0,"initial",0
14,0,"initial",0
15,0,"initial",0
16,0,"initial",1
17,0,"initial",0
18,0,"initial",0
19,0,"initial",0
20,0,"initial",1
21,1,"primary",1
22,2,"primary",0
23,3,"primary",1
24,4,"primary",1
25,5,"primary",1
26,6,"primary",0
27,7,"primary",0
28,8,"primary",1
29,9,"primary",1
30,10,"primary",1
31,11,"primary",1
32,12,"primary",1
33,13,"primary",1
34,14,"primary",1
35,15,"primary",1
36,16,"primary",0
37,17,"primary",0
38,18,"primary",0
39,19,"primary",1
40,20,"primary",1
41,21,"challenger",1
42,22,"primary",1
43,23,"primary",0
44,24,"primary",0
45,25,"primary",1
46,26,"primary",0
47,27,"primary",0
48,28,"primary",1
49,29,"challenger",1
50,30,"primary",0
