x_1,x_2,f_1,f_2,g_1,g_2,g_3,g_4,feasible_label_01,binary_constraint
0,0,1,1,-0.56157731058639082,-0.50710678118654751,-0.56157731058639082,-1,1,-1
0,1,-1,0.99999999999999989,-0.22426406871192855,-0.50710678118654751,-0.7899494936611664,0,1,-1
1,0,1.0000000000000002,-1,-0.7899494936611664,-0.50710678118654751,-0.22426406871192855,0,1,-1
1,1,-0.99999999999999989,-1.0000000000000002,-0.56157731058639082,-0.50710678118654751,-0.56157731058639082,1,0,1
0.23067635796679364,0.094948026972446947,1.618745250547581,0.45481993335725068,-0.40901039187298177,-0.28641785021886706,-0.31216305276133055,-0.67437561506075938,1,-1
0.00049041183810828032,0.48929669981881052,0.035159746665086339,0.00056409396915402255,-0.16619922734510295,-0.29962424811094918,-0.52467020394984654,-0.51021288834308121,1,-1
0.65695377238921193,0.20637757005593799,1.6779555681126497,-1.0772209193188786,-0.40916262111752205,-0.13293936089543412,0.096955654691047874,-0.13666865755485014,0,1
0.60837657346232876,0.8012002182250032,0.13136859787465327,-0.91866551156076115,-0.12455753762492611,-0.12010475337649251,-0.3095061442605917,0.40957679168733208,0,1
0.77326715142301494,0.81361259161769173,-0.17982843753470945,-1.3095197837236694,-0.28671307522003492,-0.21596609677714607,-0.3188120755590455,0.58687974304070667,0,1
0.35899259889379459,0.035796577985672519,1.8971582288824109,0.31641941524468964,-0.46681805055036335,-0.28514730152453499,-0.23138091730312926,-0.60521082312053287,1,-1
0.96000046021728147,0.15109771095953384,1.0147674144780243,-1.449175366687415,-0.65842549496207692,-0.37735018030462913,-0.099619977629477663,0.11109817117681531,0,1
0.26657404842166355,0.67510277861852486,0.22017625267055763,-0.1831246011174742,0.15832067813129067,-0.091802429650919781,-0.37320166610794531,-0.058323172959811598,0,1
0.53128799422072404,0.25108427089038615,1.6998670592263605,-0.80764724575780322,-0.30499452285412149,-0.050874428311310171,0.024339846725583342,-0.21762773488888976,0,1
0.89692473761821967,0.69035860701775931,-0.24482400987975422,-1.7744735039509683,-0.39700259533708754,-0.24021091149474505,-0.23721755952711931,0.58728334463597909,0,1
0.42322828428349685,0.87920951731503427,0.042196077266778431,-0.13157845887426989,-0.017488531062541085,-0.18690277119239768,-0.44193944229107135,0.30243780159853118,0,1
0.086839942387545443,0.5251191080676082,0.19061196383113488,-0.033871870969170437,-0.075718219427758915,-0.213922943066024,-0.45317981373314348,-0.38804094954484636,1,-1
0.73923437742385767,0.42076724428868029,0.97696756485279235,-1.6519715392475747,-0.32047840509771525,-0.052013723671927137,0.073019435877298533,0.16000162171253796,0,1
0.82407319366437237,0.56329928291107367,0.32742645729161679,-1.8314075333309718,-0.34160852870888342,-0.13019726538674109,-0.091068153131809437,0.38737247657544605,0,1
0.47984328628315226,0.98453389586747564,-0.00082413188543706273,0.014712787622872446,-0.13660532604022674,-0.28495297643418649,-0.51906580588017537,0.46437718215062795,0,1
0.15056342395577285,0.3667055337995207,0.86219200438990073,-0.023393571703456351,-0.16526222287513459,-0.17399643767980422,-0.35347102845106787,-0.48273104224470642,1,-1
