Method,Minimum,Maximum,AnchorMaximumError,BrierScore,AUC,FalseFeasibleAtTwoThirds,FalseInfeasibleAtOneThird
Constraint-wise GP product,1.26384721588788e-164,1,0.350810730866451,0.00965037948565032,0.999942942966245,0,0.00024268899405412
Bernoulli GP classification,0.106669190003728,0.924864581034206,0.486191909581021,0.0677122229638917,0.995190310830873,0.00202715154493519,0.00200218420094649
Probabilistic RBF SVM,0.000185671504231325,0.999802293966619,0.790339388610394,0.0312903509266883,0.993943728876664,0.0299772713311628,0.0180196578085184
Random-forest vote fraction,0.00814484126984127,1,0.631414682539683,0.0769111564298548,0.970210300545922,0.0647459917685362,0.0124378109452736
Weighted 7-nearest neighbours,0,1,0.665818964964592,0.0806590419439017,0.984235911949738,0.0250015357208674,6.06722485135299e-05
Neural-network ensemble,0.0568219800451806,0.980287705058316,0.674140470876943,0.0933920857519182,0.969769931981561,0.0474844892192395,0.0040650406504065
cTSEMO clipped GP mean,0,1,0,0.0537275166945306,0.978443119168831,0.0694145832053566,0.0134085669214901
