iteration,objective_fit_seconds,objective_draw_seconds,pof_fit_seconds,candidate_generation_seconds,acquisition_seconds,expensive_evaluation_seconds,iteration_seconds
1,0.014350099999999999,0.0020403000000000001,0.0019553999999999999,0.0020757000000000002,0.16360759999999999,0.00098079999999999999,0.18521009999999999
2,0.015230799999999999,0.0024103000000000002,0.00071489999999999998,0.0023448000000000002,0.12528510000000001,0.00027900000000000001,0.1471643
3,0.0153273,0.0023606,0.00067319999999999999,0.0022347999999999999,0.13296730000000001,0.0002231,0.15403439999999999
4,0.016503299999999999,0.0023586000000000002,0.00064550000000000002,0.0023425,0.097953200000000004,0.00058020000000000001,0.1206228
5,0.016491200000000001,0.0028608000000000001,0.00066180000000000004,0.0021954000000000001,0.11083659999999999,8.5799999999999998e-05,0.13336490000000001
6,0.017328900000000001,0.0023444,0.00068159999999999998,0.0022035000000000002,0.117938,9.8900000000000005e-05,0.14087620000000001
7,0.027009700000000001,0.0021900999999999999,0.00085190000000000005,0.0023038999999999998,0.099879099999999998,8.2299999999999995e-05,0.13255430000000001
8,0.023437400000000001,0.0019970000000000001,0.00071449999999999997,0.0021835000000000001,0.1102235,8.14e-05,0.13887350000000001
9,0.024565500000000001,0.0020127000000000001,0.00070240000000000005,0.0021887999999999999,0.10566780000000001,8.6899999999999998e-05,0.13546069999999999
10,0.025358200000000001,0.002212,0.00080139999999999996,0.0022177999999999998,0.1151913,0.0001002,0.14614930000000001
11,0.024849099999999999,0.0020349999999999999,0.00079650000000000001,0.0024618000000000001,0.1088213,7.7299999999999995e-05,0.13927349999999999
12,0.027424799999999999,0.0022469,0.00076090000000000001,0.0022653999999999999,0.1006992,7.9400000000000006e-05,0.13371759999999999
13,0.02785,0.0022366999999999999,0.00077660000000000001,0.0022162000000000002,0.090324299999999996,7.9599999999999997e-05,0.123723
14,0.030224899999999999,0.0023454000000000001,0.00075900000000000002,0.0022193,0.097761000000000001,9.5400000000000001e-05,0.133687
15,0.030109,0.0022642999999999999,0.00093820000000000004,0.0024816,0.11358269999999999,0.0001053,0.1498176
16,0.033034599999999997,0.0023341999999999998,0.00090810000000000001,0.0024217000000000002,0.1167474,7.8200000000000003e-05,0.15579229999999999
17,0.029069899999999999,0.0021300999999999998,0.00085019999999999996,0.0022326999999999998,0.1216373,9.6100000000000005e-05,0.1563042
18,0.028661200000000001,0.0022325999999999999,0.00092080000000000005,0.0022853999999999999,0.101339,7.8399999999999995e-05,0.135765
19,0.0330528,0.0021543000000000001,0.00095169999999999999,0.0023992000000000002,0.1113374,9.3900000000000006e-05,0.15028169999999999
20,0.029170499999999999,0.0020419000000000001,0.00095370000000000003,0.0022959999999999999,0.1215562,8.3800000000000004e-05,0.1563572
21,0.033834500000000003,0.0023698999999999999,0.00091549999999999997,0.0023727000000000002,0.1040124,0.0001038,0.14387929999999999
22,0.030039699999999999,0.0021226999999999999,0.00097389999999999998,0.0024502,0.17880760000000001,0.000117,0.21481239999999999
23,0.031383399999999999,0.0021952,0.00087640000000000005,0.0024244000000000002,0.11645270000000001,0.0001091,0.1537705
24,0.033993599999999999,0.0021421000000000001,0.0011971,0.0024596000000000002,0.095330300000000007,0.0001316,0.13552220000000001
25,0.033233499999999999,0.0020500000000000002,0.00096770000000000005,0.0023389000000000001,0.10171040000000001,8.5500000000000005e-05,0.14067760000000001
26,0.035341299999999999,0.0021580000000000002,0.00099249999999999989,0.0023557999999999999,0.078964599999999996,7.7600000000000002e-05,0.1201639
27,0.034127999999999999,0.0023852999999999999,0.00090470000000000004,0.0025390999999999999,0.1104651,8.7600000000000002e-05,0.15076000000000001
28,0.036621800000000003,0.0023238999999999998,0.0010078000000000001,0.0024778000000000001,0.1182294,7.9400000000000006e-05,0.16102669999999999
29,0.036562499999999998,0.0021453000000000002,0.0010355,0.0025035000000000001,0.1239495,8.0400000000000003e-05,0.16653380000000001
30,0.037998999999999998,0.0026304000000000002,0.00099470000000000005,0.0023573999999999999,0.098702799999999993,7.9900000000000004e-05,0.14304800000000001
