ProblemId,Phase,TotalEvaluations,SequentialEvaluations,FeasibleObserved,ViolatingObserved,GridPointCount,ExactFeasibleGridFraction,MeanScore,AUC,Brier,ECE10,FalseFeasibleRate,FalseInfeasibleRate,BalancedAccuracy,OverallMisclassificationRate,AnchorMaxAbsoluteError,FractionAtZero,FractionAtOne,RawMeanMinimum,RawMeanMaximum,BaseLengthScale,LocalLengthMinimum,LocalLengthMaximum
COSSIN1,initial,20,0,8,12,40401,0.335239226751813,0.295775569156816,0.965591817361057,0.0679886065805966,0.047496156713045,0.0405480880217448,0.209465445953928,0.874993233012164,0.0971758124798891,0,0.564416722358357,0.164773149179476,-0.508938008149055,1.34504423805213,0.240411477090231,0.240411477090231,0.3434268175148
COSSIN1,final,50,30,27,23,40401,0.335239226751813,0.281701128536505,0.956842532327755,0.0775488893044466,0.0593152314259059,0.0436757642327885,0.251181334908447,0.852571450429382,0.11323977129279,0,0.570282913789263,0.119600999975248,-1.56573638248228,1.93772354684114,0.0986425392108172,0.0986425392108172,0.186551204316964
COSSIN2,initial,20,0,7,13,40401,0.307195366451325,0.278863647857728,0.867378360579703,0.117779613488655,0.0930451486912564,0.0838156484458735,0.290790427846265,0.812696961853931,0.147397341649959,0,0.580827207247345,0.151456647112695,-0.627655366370729,1.34805427623588,0.226739971377114,0.226739971377114,0.291834982062294
COSSIN2,final,80,60,36,44,40401,0.307195366451325,0.283785298612761,0.916704470665004,0.100722907203998,0.088460199480506,0.0543408360128617,0.216018048505358,0.86482055774089,0.104007326551323,0,0.485359273285315,0.0756169401747482,-1.37133496040675,1.95595043960557,0.0694862552528648,0.0694862552528648,0.106218168317243
BNH,initial,10,0,9,1,40401,0.936313457587683,0.95725727187277,0.826845145747555,0.0361733696560519,0.0271512205428795,0.545666537116207,0.00869726128793486,0.722818100797929,0.042894977847083,0,0.00576718398059454,0.895472884334546,-0.241135129450106,1.40334325049367,0.557714293438162,0.557714293438162,0.557714293438162
BNH,final,40,30,39,1,40401,0.936313457587683,0.949879700288672,0.801417371348153,0.035479173121203,0.0244220180704381,0.539059463661096,0.00586866871100772,0.727535933813948,0.0398257468874533,0,0.00596519888121581,0.723422687557239,-0.246822556167032,1.3125469986411,0.180742913342274,0.180742913342274,0.180742913342274
SRN,initial,10,0,1,9,40401,0.161852429395312,0.246767164535986,0.804336839081005,0.142262957326071,0.140037232685106,0.153298682889375,0.389967884997706,0.72836671605646,0.191604168213658,0,0.502512314051632,0.0686121630652707,-0.43083111058003,1.38062923238047,0.371396107370167,0.371396107370167,0.378352929347038
SRN,final,40,30,24,16,40401,0.161852429395312,0.428167453287429,0.827042167651691,0.176212216588702,0.295383527007984,0.0640541019431811,0.25615537543967,0.839895261308575,0.0951461597485211,0,0.0683398925769164,0.0343060815326353,-1.79321574331187,1.48975171895008,0.0443360179168287,0.0443360179168287,0.0720533220796696
