iteration,objective_fit_seconds,objective_draw_seconds,pof_fit_seconds,candidate_generation_seconds,acquisition_seconds,expensive_evaluation_seconds,iteration_seconds
1,0.016560100000000001,0.0019680000000000001,0.00069360000000000005,0.0023392999999999999,0.2300545,0.0032599,0.25513400000000003
2,0.025629200000000001,0.0025793999999999999,0.00087029999999999996,0.0026857999999999999,0.16461400000000001,0.0002309,0.19691210000000001
3,0.024241800000000001,0.0022837000000000001,0.00076599999999999997,0.0024199999999999998,0.12932569999999999,0.0001751,0.15945239999999999
4,0.023411899999999999,0.0021622999999999998,0.00079370000000000005,0.0025479999999999999,0.16642709999999999,0.00044549999999999999,0.19604199999999999
5,0.025984899999999998,0.0022066999999999998,0.00077769999999999998,0.0024672000000000001,0.16459119999999999,0.00039829999999999998,0.19671649999999999
6,0.024368299999999999,0.0023977999999999998,0.00079790000000000004,0.0024700999999999998,0.18055689999999999,0.0001273,0.210978
7,0.031666100000000003,0.0023251999999999999,0.00089780000000000003,0.0027648,0.1438422,9.31e-05,0.18184320000000001
8,0.031968200000000002,0.0023115000000000002,0.00087379999999999999,0.0025563999999999999,0.15139810000000001,8.7700000000000004e-05,0.1894478
9,0.0257848,0.0021925,0.00080909999999999999,0.0024729999999999999,0.20132420000000001,8.9400000000000005e-05,0.2329299
10,0.038889800000000002,0.0025511000000000002,0.00079719999999999997,0.0027799999999999999,0.2234305,0.00013190000000000001,0.2689318
11,0.037614500000000002,0.0026451000000000001,0.0011486000000000001,0.0031204000000000002,0.23389979999999999,9.7999999999999997e-05,0.27886820000000001
12,0.037645499999999998,0.0024516999999999998,0.0011631,0.0029965999999999999,0.1378365,9.4699999999999998e-05,0.18250230000000001
13,0.0373304,0.0023795999999999999,0.00094729999999999999,0.0027103000000000001,0.2098314,9.1299999999999997e-05,0.2535598
14,0.0286941,0.0022575999999999998,0.00086039999999999999,0.0026026000000000001,0.15944410000000001,9.9699999999999998e-05,0.19422130000000001
15,0.030642300000000001,0.0022242999999999998,0.00087279999999999996,0.0025772999999999998,0.10349659999999999,0.000121,0.14023540000000001
16,0.0371516,0.0026913000000000002,0.00092980000000000005,0.0027092000000000001,0.1269141,0.0001024,0.1708153
17,0.031504200000000003,0.0021713000000000001,0.00088800000000000001,0.0027098000000000001,0.18638250000000001,0.00010670000000000001,0.2240888
18,0.039802700000000003,0.0022853000000000001,0.00093190000000000005,0.0028276999999999998,0.1332438,9.8499999999999995e-05,0.17949490000000001
19,0.0408134,0.0025709999999999999,0.00096429999999999997,0.0028614999999999999,0.1283754,0.00013180000000000001,0.1761172
20,0.041044600000000001,0.0023798000000000001,0.0010311999999999999,0.0031865999999999999,0.1492936,9.6500000000000001e-05,0.19734119999999999
21,0.041229300000000003,0.0022292000000000002,0.0010313,0.0029023999999999999,0.1216164,0.0001104,0.16946059999999999
22,0.038631499999999999,0.0023576999999999999,0.0010254999999999999,0.0028628,0.19905410000000001,0.00012569999999999999,0.24439540000000001
23,0.037726000000000003,0.0023484000000000001,0.00099109999999999997,0.0028156000000000001,0.1095463,0.000111,0.15388740000000001
24,0.038618699999999999,0.002362,0.001075,0.0028855,0.1610907,0.00012659999999999999,0.2065313
25,0.059061599999999999,0.0026795,0.0013787999999999999,0.0041286999999999999,0.18343680000000001,0.00012339999999999999,0.2511968
