Family,EvidenceLabel,MedianDirection,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianHighMinusLow,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
C2DTLZ2_R02,prevalence_confounded,higher_dimension_lower_error_or_mass,offline_RF_proxy,ECE10,4,6,5,0.0955155887931743,0.0214972245065788,-0.0740183642865954,0,5,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalseDiscoveryRate,4,6,2,0.453628646193133,0.6857058596515,0.232077213458367,2,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalseNegativeRate,4,6,5,0.565993039511011,1,0.359781241774632,5,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_lower_error_or_mass,offline_RF_proxy,FalsePositiveRate,4,6,5,0.0527306307057218,0,-0.047820477771364,1,4,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,ZeroMass,4,6,5,0,0.006683349609375,0.00409698486328125,3,0,2
CF1,cleanest_dimension_contrast,higher_dimension_worse_metric,offline_RF_proxy,AUC,4,10,5,0.76684928406121,0.711121300864733,-0.0595011287221533,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_worse_metric,offline_RF_proxy,AveragePrecision,4,10,5,0.738615223375842,0.735132432464803,-0.00515218067276613,2,3,0
CF1,cleanest_dimension_contrast,higher_dimension_lower_error_or_mass,offline_RF_proxy,BalancedBrier,4,10,5,0.243047605691314,0.22033217347573,-0.00844665414642271,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_lower_error_or_mass,offline_RF_proxy,BalancedError,4,10,5,0.387229645183146,0.361582969419026,-0.0112062815713201,2,3,0
CF1,cleanest_dimension_contrast,higher_dimension_lower_error_or_mass,offline_RF_proxy,DomainError,4,10,5,0.384925842285156,0.370731353759766,-0.010101318359375,2,3,0
CF1,cleanest_dimension_contrast,higher_dimension_lower_error_or_mass,offline_RF_proxy,ECE10,4,10,5,0.164741130568994,0.0891299454371136,-0.11882456081885,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalseDiscoveryRate,4,10,5,0.198014451271992,0.271724438996953,0.059305171237282,5,0,0
CF1,cleanest_dimension_contrast,higher_dimension_lower_error_or_mass,offline_RF_proxy,FalseNegativeRate,4,10,5,0.692189504574752,0.552521987302697,-0.139667517272055,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalsePositiveRate,4,10,5,0.0634751047562759,0.203266235015065,0.151179823400568,5,0,0
CF1,cleanest_dimension_contrast,no_median_change,offline_RF_proxy,ZeroMass,4,10,5,0,0,0,0,0,5
MW7,prevalence_confounded,higher_dimension_better_metric,offline_RF_proxy,AUC,4,6,5,0.856140340768437,0.896160122225814,0.0629329429127976,4,1,0
MW7,prevalence_confounded,higher_dimension_worse_metric,offline_RF_proxy,AveragePrecision,4,6,5,0.305254652539522,0.1699191052545,-0.11269681008349,0,5,0
MW7,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,BalancedBrier,4,6,5,0.280328817844983,0.340957200090857,0.0836277081550801,3,2,0
MW7,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,BalancedError,4,6,5,0.399823728694938,0.408849796586867,0.00902606789192945,3,2,0
MW7,prevalence_confounded,higher_dimension_lower_error_or_mass,offline_RF_proxy,DomainError,4,6,5,0.0428886413574219,0.00731277465820312,-0.0349922180175781,0,5,0
MW7,prevalence_confounded,higher_dimension_lower_error_or_mass,offline_RF_proxy,ECE10,4,6,5,0.0599532382198118,0.0197692670267095,-0.0157083560423876,2,3,0
MW7,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalseDiscoveryRate,4,6,5,0.44964200477327,0.643105446118192,0.0759068645579086,4,1,0
MW7,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,FalseNegativeRate,4,6,5,0.786886677143356,0.815568862275449,0.0286821851320931,3,2,0
MW7,prevalence_confounded,higher_dimension_lower_error_or_mass,offline_RF_proxy,FalsePositiveRate,4,6,5,0.00995652000478679,0.00213073089828543,-0.00987973690935308,1,4,0
MW7,prevalence_confounded,higher_dimension_higher_error_or_mass,offline_RF_proxy,ZeroMass,4,6,5,0.00087738037109375,0.245529174804688,0.243148803710938,4,1,0
