Quantity,Input,GridIndex,InputScaled,InputPhysical,Mean,Median,Q10,Q90
HVI_draw,1,1,0,0.125,1.82752087600028,0.487937909854201,0,6.95257469269252
HVI_draw,1,2,0.0333333333333333,0.2875,1.1758952863789,0.542976233028099,0,2.86630437325919
HVI_draw,1,3,0.0666666666666667,0.45,0.522197971116401,0.114127665158598,0,1.62256294639351
HVI_draw,1,4,0.1,0.6125,0.372594613321209,0,0,1.01912557578206
HVI_draw,1,5,0.133333333333333,0.775,0.49982025580673,0.000925037887316192,0,1.80070904382171
HVI_draw,1,6,0.166666666666667,0.9375,0.52993690739008,0.177080095226043,0,1.42602254487088
HVI_draw,1,7,0.2,1.1,0.405127769147301,0,0,1.31994217052415
HVI_draw,1,8,0.233333333333333,1.2625,0.620736638204714,0.203375491781066,0,1.90330987686033
HVI_draw,1,9,0.266666666666667,1.425,0.757484642730061,0,0,2.25863520182942
HVI_draw,1,10,0.3,1.5875,0.822122758623003,0.123962451311742,0,2.48338639318658
HVI_draw,1,11,0.333333333333333,1.75,0.783640776409457,0.510033429039908,0,2.06461907777684
HVI_draw,1,12,0.366666666666667,1.9125,0.542828241515444,0.354000301703648,0,1.26039349353689
HVI_draw,1,13,0.4,2.075,0.640580205910267,0.0825377392911651,0,2.13742473209796
HVI_draw,1,14,0.433333333333333,2.2375,0.62657608261925,0.230895067017529,0,1.91918469844702
HVI_draw,1,15,0.466666666666667,2.4,0.620216376063447,0,0,1.95420549093772
HVI_draw,1,16,0.5,2.5625,0.73189374590346,0,0,2.19653299913989
HVI_draw,1,17,0.533333333333333,2.725,0.536302769544668,0,0,2.35616319526925
HVI_draw,1,18,0.566666666666667,2.8875,0.300412149559772,0,0,1.0484730738464
HVI_draw,1,19,0.6,3.05,0.354749596105836,0,0,1.22183328964854
HVI_draw,1,20,0.633333333333333,3.2125,0.604225191773604,0,0,2.86775994973343
HVI_draw,1,21,0.666666666666667,3.375,0.614724500765811,0,0,2.76973031060686
HVI_draw,1,22,0.7,3.5375,0.719958383203978,0,0,2.68033128964387
HVI_draw,1,23,0.733333333333333,3.7,0.797072082856302,0,0,2.20546263521919
HVI_draw,1,24,0.766666666666667,3.8625,0.5317835035515,0,0,1.01825902741527
HVI_draw,1,25,0.8,4.025,0.239362241322871,0,0,0.700410559667393
HVI_draw,1,26,0.833333333333333,4.1875,0.116369440301802,0,0,0
HVI_draw,1,27,0.866666666666667,4.35,0.0463662942445453,0,0,0.0356369611904467
HVI_draw,1,28,0.9,4.5125,0.254787022806835,0.0141542655253406,0,0.843660946602293
