InputPhysical,PositiveHviFraction,MeanNormalizedHvi,MedianNormalizedHvi,P90NormalizedHvi,P99NormalizedHvi,SampledProfileMaximumNormalizedHvi
0.125,0.43994140625,0.053728506037675,0,0.181099718606845,0.420287523612866,0.97203522936436
0.165625,0.43896484375,0.0532536765854947,0,0.179270639134761,0.417467125438395,0.967705835504619
0.20625,0.43798828125,0.0527847588605284,0,0.177742108108988,0.414519802528932,0.963217194609748
0.246875,0.43603515625,0.0523160781656815,0,0.175987382517566,0.411443116322558,0.958569298101244
0.2875,0.43408203125,0.0518495158651196,0,0.174274629625872,0.408234888160813,0.953762451645412
0.328125,0.43115234375,0.0513889770189094,0,0.172868274819113,0.404893203922837,0.948797274112285
0.36875,0.4296875,0.0509296033368622,0,0.171204983663034,0.401416418116439,0.94371187582324
0.409375,0.427734375,0.0504694774119631,0,0.169333075717272,0.398729077672821,0.938502560635986
0.45,0.42724609375,0.0500132553959965,0,0.166178430842858,0.397103322687952,0.933138554699244
0.490625,0.427734375,0.0495591299345018,0,0.163414310933855,0.396340742220158,0.927621697905857
0.53125,0.42529296875,0.0491050128142331,0,0.16347983639857,0.395565258703811,0.921954130650574
0.571875,0.427734375,0.0486513917115936,0,0.160968651276076,0.394859477186954,0.916138286149268
0.6125,0.42529296875,0.0481990313104497,0,0.159352600804348,0.394122241100894,0.910176884771322
0.653125,0.42529296875,0.0477451861314376,0,0.159193491236018,0.392571408471952,0.904072927759567
0.69375,0.4208984375,0.0473008145876145,0,0.157802702133615,0.390384899890192,0.897829690352469
0.734375,0.41796875,0.0468715268993661,0,0.157154662580871,0.388105397857715,0.891450714327804
0.775,0.4150390625,0.0464457174534805,0,0.155805115960589,0.385729972445998,0.884939799986287
0.815625,0.41259765625,0.0460244874917804,0,0.154996973609629,0.383255898956538,0.878300997593559
0.85625,0.41064453125,0.0456130246602983,0,0.153441989332514,0.380680663868368,0.87153859830355
0.896875,0.41064453125,0.0452105441483242,0,0.152895332004254,0.378001970380829,0.864657124583431
0.9375,0.41064453125,0.0448100480101555,0,0.15087669156054,0.37521774372908,0.857661320164904
0.978125,0.41162109375,0.0444115194468432,0,0.149651420939756,0.372326135774444,0.850556139544231
1.01875,0.40966796875,0.0440181322021711,0,0.147645293314675,0.369325529194884,0.843346737056759
1.059375,0.4091796875,0.0436237716060447,0,0.145721294259284,0.366214541189174,0.836038455550972
1.1,0.40478515625,0.0432348203608929,0,0.14486184370758,0.362992026685822,0.828636814688893
1.140625,0.40234375,0.0428532672153542,0,0.143222126488871,0.361911197200004,0.821147498900396
1.18125,0.40283203125,0.0424795023411394,0,0.142658462176857,0.36153278585376,0.813576345017349
1.221875,0.40380859375,0.0421114823062127,0,0.140418551772409,0.361130338173293,0.805929329617162
1.2625,0.4033203125,0.0417449323067698,0,0.138330345192068,0.36063091297848,0.798212556105402
1.303125,0.40234375,0.0413791966258928,0,0.135891964698265,0.360033026193089,0.790432241563806
1.34375,0.40380859375,0.0410200977553724,0,0.135719862377975,0.359335395477583,0.782594703395044
1.384375,0.404296875,0.0406702494532521,0,0.134662782811801,0.35786322358307,0.774706345795106
1.425,0.4033203125,0.0403292373230498,0,0.135144774595697,0.352661452864696,0.766773646079589
1.465625,0.4013671875,0.0399998388878024,0,0.134903031650663,0.348528035709594,0.758803169755824
1.50625,0.4013671875,0.039676428234093,0,0.133883020510349,0.345321372313438,0.750801509699762
1.546875,0.40234375,0.0393592550049969,0,0.133737846371026,0.342496924389143,0.742775239765551
1.5875,0.39990234375,0.0390576424379086,0,0.13340432473898,0.339632635196548,0.734730991198782
1.628125,0.39794921875,0.0387657057154586,0,0.132891276231797,0.336930765213277,0.72667539889751
1.66875,0.39697265625,0.0384774069050116,0,0.13063750971075,0.337502750667312,0.718615087507881
1.709375,0.396484375,0.0381914708113707,0,0.129445640021583,0.338924003083985,0.710556657585741
1.75,0.3935546875,0.0379164203736921,0,0.130348489916484,0.340270973657602,0.702506671852508
1.790625,0.39306640625,0.0376518563480105,0,0.129139297576209,0.34160550568503,0.694471641575106
1.83125,0.39453125,0.0373981306059106,0,0.127302933878646,0.342910841326785,0.686458013097233
1.871875,0.39501953125,0.0371508922999492,0,0.126172849163991,0.344140654015275,0.678472154712288
1.9125,0.3935546875,0.0369134626159249,0,0.125297778959521,0.343223143925526,0.670520344938837
