ProblemId,Dimension,Replicate,InitialCount,TotalEvaluations,OldFeasibleCount,NewFeasibleCount,OldUniqueFrontCount,NewUniqueFrontCount,InitialHV,OldFinalHV,NewFinalHV,FinalHVDelta,FinalHVChangePct,OldHVGrowth,NewHVGrowth,OldHVAUC,NewHVAUC,HVAUCDelta,HVAUCChangePct,ZeroBaselineHVGain,ZeroBaselineHVAUCGain,NewStrictlyDominatesOldPct,OldStrictlyDominatesNewPct,OldWallTimeSeconds,NewWallTimeSeconds,OldMeanAcquisitionSeconds,NewMeanAcquisitionSeconds,NewPrimarySelections,NewChallengerSelections,NewFallbackSelections,GAEligibleIterations,GAImprovedOverSeedCount,GAReturnedSeedBestCount,GAMeanImprovementOverSeed
WELDEDBEAM,4,1,20,150,111,92,18,13,1.16022880269589,1.20242787890704,1.18607124985797,-0.0163566290490744,-1.36030021725227,0.0421990762111513,0.0258424471620768,1.18655982816743,1.18092084486222,-0.00563898330521306,-0.475238009188471,0,0,38.8888888888889,30.7692307692308,41.7685459999964,69.1045390000045,0.0173079676923077,0.264956899230769,130,0,0,130,130,0,0.355250833666884
WELDEDBEAM,4,2,20,150,107,109,16,16,1.17109998671141,1.20308667068731,1.20185425886233,-0.00123241182498446,-0.102437493076072,0.0319866839759011,0.0307542721509166,1.19404795067723,1.18617059511746,-0.00787735555977331,-0.659718527660929,0,0,50,18.75,39.654310999997,68.8522190000042,0.0157450761538462,0.263897400769231,129,1,0,130,130,0,1.93028917303382
WELDEDBEAM,4,3,20,150,107,106,17,14,1.15421945173544,1.18667421441206,1.20294784670141,0.016273632289348,1.37136478501901,0.0324547626766147,0.0487283949659627,1.18030261737517,1.19621453436311,0.0159119169879489,1.34812180823041,0,0,58.8235294117647,14.2857142857143,41.4363280000016,67.0853580000028,0.0157302230769231,0.255105582307692,130,0,0,130,130,0,0.423207359285896
WELDEDBEAM,4,4,20,150,99,95,13,16,1.16162216685641,1.2010480134388,1.20221067684573,0.0011626634069335,0.0968040739357786,0.0394258465823918,0.0405885099893253,1.19095804595687,1.19243530211271,0.00147725615583716,0.124039311111943,0,0,15.3846153846154,25,43.7332829999998,66.0086469999999,0.0154113561538462,0.24571511,126,4,0,130,130,0,0.301990904726392
WELDEDBEAM,4,5,20,150,100,86,13,14,1.16055779455622,1.19972323142169,1.19596672278596,-0.00375650863572541,-0.313114603213434,0.0391654368654719,0.0354089282297465,1.18747215681292,1.18996898838015,0.00249683156723024,0.21026443044623,0,0,38.4615384615385,35.7142857142857,65.4057190000042,65.8067939999998,0.0296607453846154,0.245291616923077,130,0,0,130,130,0,0.37526700884321
CF1_D4,4,1,20,150,39,27,18,9,0.865275467334883,1.09948965211908,1.07279059058042,-0.0266990615386653,-2.42831403526239,0.234214184784199,0.207515123245534,1.0350085104396,0.998864207880384,-0.0361443025592113,-3.49217443090008,0,0,33.3333333333333,22.2222222222222,51.086201000005,63.3010910000056,0.0163835915384615,0.227926807692308,127,3,0,130,129,0,0.0862442230340675
CF1_D4,4,2,20,150,38,40,22,14,0.832477553848192,1.0928105941375,1.11298221376478,0.0201716196272781,1.84584773752111,0.260333040289309,0.280504659916587,1.03535979470223,1.04986163260822,0.0145018379059867,1.40065685186833,0,0,68.1818181818182,14.2857142857143,61.911175999999,63.1818969999999,0.0205825469230769,0.227038546153846,129,1,0,130,130,0,0.0899242641995082
CF1_D4,4,3,20,150,47,45,16,11,0.839682657973986,1.10442347619346,1.0848512121556,-0.0195722640378611,-1.77217022815554,0.264740818219477,0.245168554181616,1.04071573262119,1.01251690076272,-0.0281988318584723,-2.70956140803691,0,0,43.75,54.5454545454545,48.9484680000022,65.1607969999984,0.0173437792307692,0.235645813846154,129,1,0,130,130,0,0.0942183686677254
CF1_D4,4,4,20,150,48,42,16,12,0.90827255080841,1.09090440038193,1.08304435168738,-0.0078600486945537,-0.720507561597684,0.182631849573523,0.174771800878969,1.03773411444884,1.00285792477081,-0.0348761896780303,-3.36080207756818,0,0,31.25,41.6666666666667,46.8991640000045,64.2663669999987,0.0156742476923077,0.234401133076923,126,4,0,130,130,0,0.0822183307978268
CF1_D4,4,5,20,150,42,36,12,11,0.753985733986764,1.06215064999229,1.09265722390532,0.0305065739130275,2.87215131989504,0.308164916005531,0.338671489918558,0.988204619835887,1.00325875045729,0.0150541306214038,1.52338193115348,0,0,50,36.3636363636364,41.9236449999958,64.4327669999972,0.0145440569230769,0.231535610769231,127,3,0,130,130,0,0.0777050415147137
CF1_D10,10,1,20,150,82,84,14,10,0.835011327677778,0.937973991909682,0.937087149144968,-0.000886842764714402,-0.0945487585331466,0.102962664231904,0.10207582146719,0.883190927189577,0.913461937429144,0.0302710102395666,3.42745937573121,0,0,21.4285714285714,20,41.2225300000012,77.3161590000018,0.0169319669230769,0.330675956923077,130,0,0,130,130,0,5.0312459516584
