iteration,objective_fit_seconds,objective_draw_seconds,pof_fit_seconds,candidate_generation_seconds,acquisition_seconds,expensive_evaluation_seconds,iteration_seconds
1,0.017244099999999998,0.0026221999999999999,0.0054273999999999998,0.0038075000000000001,0.16938890000000001,0.0013165,0.20002619999999999
2,0.014998600000000001,0.0020539999999999998,0.00066049999999999995,0.0023695999999999999,0.096603999999999995,0.00023690000000000001,0.11720659999999999
3,0.015189899999999999,0.0023573000000000001,0.00071489999999999998,0.0022344000000000001,0.088678499999999993,0.0002017,0.10962479999999999
4,0.015796999999999999,0.0020533999999999999,0.00068590000000000003,0.0023728999999999998,0.085784399999999997,0.0006066,0.10754950000000001
5,0.0154816,0.0022518,0.00088270000000000004,0.0021919999999999999,0.1825291,9.6299999999999996e-05,0.20371729999999999
6,0.016010799999999999,0.0023608000000000001,0.00068320000000000002,0.0023798000000000001,0.1284013,9.4099999999999997e-05,0.15020839999999999
7,0.0240387,0.0024212000000000001,0.0008164,0.0020782000000000001,0.11371680000000001,9.3599999999999998e-05,0.1434609
8,0.031341500000000001,0.0023617999999999998,0.00086989999999999995,0.0023565000000000001,0.085957699999999998,8.4400000000000005e-05,0.12323190000000001
9,0.025594100000000002,0.0020826,0.00079730000000000003,0.0022756,0.091147800000000001,9.3499999999999996e-05,0.1222762
10,0.029023500000000001,0.0023492999999999999,0.00074669999999999999,0.0021711,0.099811899999999995,9.2600000000000001e-05,0.1344745
11,0.0270345,0.0025496,0.00089249999999999996,0.002307,0.1119687,9.4400000000000004e-05,0.14514540000000001
12,0.033069599999999998,0.0023860000000000001,0.00083949999999999997,0.0023113000000000001,0.097883100000000001,9.09e-05,0.13687289999999999
13,0.024498900000000001,0.0021989000000000002,0.00079509999999999997,0.0021618000000000002,0.088445899999999994,9.6700000000000006e-05,0.1185234
14,0.0267826,0.0023494000000000002,0.00098210000000000007,0.0025490999999999999,0.095474400000000001,9.2399999999999996e-05,0.1285615
15,0.026138399999999999,0.0020428999999999998,0.00076059999999999995,0.0022372,0.13359779999999999,9.4500000000000007e-05,0.1651746
16,0.027978800000000002,0.0022569999999999999,0.00083129999999999999,0.0022128999999999998,0.1133439,8.0699999999999996e-05,0.146981
17,0.032877700000000003,0.0028641999999999999,0.0009209,0.0025414000000000001,0.12672820000000001,9.4599999999999996e-05,0.16636129999999999
18,0.038711000000000002,0.0023476999999999999,0.00089519999999999997,0.0023953999999999998,0.13872880000000001,8.1100000000000006e-05,0.18350920000000001
19,0.031252200000000001,0.0024058,0.00092299999999999999,0.0024594999999999999,0.094119700000000001,7.7600000000000002e-05,0.13151309999999999
20,0.0304187,0.0020523999999999998,0.00085099999999999998,0.0022659999999999998,0.13123940000000001,9.1700000000000006e-05,0.1672334
21,0.034417299999999998,0.0021243,0.00087900000000000001,0.0023067999999999999,0.10684109999999999,9.8599999999999998e-05,0.1469985
22,0.0374846,0.0022049999999999999,0.0010426000000000001,0.0028606999999999999,0.1054855,7.8899999999999993e-05,0.14944940000000001
23,0.031349799999999997,0.0027198999999999999,0.00087129999999999998,0.0022301000000000001,0.1001055,9.5799999999999998e-05,0.1376965
24,0.037937600000000002,0.0021827000000000001,0.00094780000000000005,0.0024421999999999998,0.1124438,8.3499999999999997e-05,0.15637180000000001
25,0.041077700000000002,0.0024964000000000002,0.00099719999999999995,0.0025267000000000002,0.097491700000000001,9.2700000000000004e-05,0.1450195
26,0.035291999999999997,0.0021153000000000001,0.00089760000000000003,0.0024147000000000001,0.092988199999999993,7.7600000000000002e-05,0.13406650000000001
27,0.038594499999999997,0.0025634,0.00098160000000000001,0.0023516000000000001,0.1358782,9.59e-05,0.18076049999999999
28,0.042203600000000001,0.0024656999999999999,0.0010181999999999999,0.0024291,0.089526099999999997,9.4300000000000002e-05,0.1380788
29,0.037829099999999997,0.0021281999999999998,0.0010682999999999999,0.0024954999999999999,0.097563700000000003,0.0001019,0.1415575
30,0.040173599999999997,0.0023376,0.00098689999999999997,0.0024924999999999999,0.1032936,9.0400000000000002e-05,0.14970849999999999
