RelativePath,Category,Bytes,Sha256,Status,ManuscriptReference,Generator
manuscript/artifacts/ga_primary_challenger/cases/COSSIN2/initial_design.csv,ga_primary_challenger,3142,fe67d7d8624b20e668e5aef9ecaa8a7b68c6dafc0fea61cce7174280da6caf09,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/COSSIN2/options.json,ga_primary_challenger,1636,602dca18a05cd279a05854677f5d1791d01e08b2e25ba3aaf8bc85370d50120d,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/COSSIN2/selection_history.csv,ga_primary_challenger,1482,090e33129283247d0eb04748ff5ee74aa041e8509281201b941c6a6cdcd94de6,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/COSSIN2/summary.csv,ga_primary_challenger,1349,8a1aa1bedad1c8d366ef891cc64ef31fb013c8a4704325a0ffc4737e589b6972,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/COSSIN2/timing.csv,ga_primary_challenger,7951,21c607c2549c472d878dedf3ea49a51d4f71985e7b125d9aba8f19333ba08936,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/case_manifest.json,ga_primary_challenger,1815,66f0adea2e2e7144beaccdea84b9416a3c364032d49241cf84dca55f70cf8992,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/evaluations.csv,ga_primary_challenger,4543,1749b86e7522f7935597087dfdcb1f107c1fa8fd9cbaf74de4dbddeab2bf5021,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/initial_design.csv,ga_primary_challenger,893,6a63c93cf6d818dc636c3006212f8de9b35a7cc61872ae0290525a05108fcf28,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/options.json,ga_primary_challenger,1639,584bc16a12d3e553007b84ac0c3064e634b658b946465b884c18e62eb1709270,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/selection_history.csv,ga_primary_challenger,757,a89491d428b54af159f01b4850d52c4557e3cc9a8c9702b6df854148f9eb8eed,supporting,,src/benchmarks/runReleaseBenchmarks.m
