Dimension,SampleCount,ConvexHullHV,Log10ConvexHullHV,RelativeToInitialHull,FacetCount,ElapsedSeconds,Status
2,3,0.0201373083335816,-1.69599858015753,1,3,0.0628297,ok
2,4,0.0734980235771955,-1.13372433929756,3.64984348253871,4,0.0061394,ok
2,5,0.0734980235771955,-1.13372433929756,3.64984348253871,4,0.0079153,ok
2,6,0.0734980235771955,-1.13372433929756,3.64984348253871,4,0.0029863,ok
2,7,0.18151247964092,-0.741093510281495,9.01374089496481,4,0.0087081,ok
2,8,0.203059924113299,-0.692375780454559,10.0837669439003,5,0.0011372,ok
2,9,0.272333398199725,-0.564899094743749,13.5238232284288,5,0.0009575,ok
2,10,0.373001791142775,-0.428289082717972,18.5229219796345,4,0.0008843,ok
2,11,0.462186290926328,-0.335182940430569,22.9517412789261,5,0.0005278,ok
2,12,0.462186290926328,-0.335182940430569,22.9517412789261,5,0.0008958,ok
2,13,0.462234990663932,-0.335137182013379,22.9541596625947,6,0.0009527,ok
2,14,0.480964661236695,-0.317886832137003,23.8842576807856,7,0.0008493,ok
2,15,0.480964661236695,-0.317886832137003,23.8842576807856,7,0.0005184,ok
2,16,0.480964661236695,-0.317886832137003,23.8842576807856,7,0.0009453,ok
2,17,0.596695768765946,-0.224247041773996,29.631356826914,7,0.0009749,ok
2,18,0.596695768765946,-0.224247041773996,29.631356826914,7,0.000888,ok
2,19,0.596695768765946,-0.224247041773996,29.631356826914,7,0.0005274,ok
2,20,0.596695768765946,-0.224247041773996,29.631356826914,7,0.0008072,ok
2,21,0.596695768765946,-0.224247041773996,29.631356826914,7,0.0008124,ok
2,22,0.628346479169747,-0.201800814069905,31.2031016638851,8,0.000482,ok
2,23,0.628346479169747,-0.201800814069905,31.2031016638851,8,0.0008206,ok
2,24,0.631599953106913,-0.1995579109079,31.3646661532036,9,0.0009043,ok
2,25,0.631599953106913,-0.1995579109079,31.3646661532036,9,0.0008129,ok
2,26,0.631599953106913,-0.1995579109079,31.3646661532036,9,0.0004971,ok
2,27,0.631599953106913,-0.1995579109079,31.3646661532036,9,0.0008853,ok
2,28,0.631599953106913,-0.1995579109079,31.3646661532036,9,0.0006235,ok
2,29,0.689588827554908,-0.16140978339355,34.2443397166903,9,0.0006696,ok
2,30,0.689588827554908,-0.16140978339355,34.2443397166903,9,0.0009051,ok
2,31,0.689588827554908,-0.16140978339355,34.2443397166903,9,0.0009369,ok
2,32,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0009398,ok
2,33,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0005913,ok
2,34,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0007641,ok
2,35,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0008226,ok
2,36,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0004848,ok
2,37,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0010035,ok
2,38,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0007707,ok
2,39,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0009747,ok
2,40,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0008768,ok
2,41,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0005207,ok
2,42,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0007119,ok
2,43,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.0009094,ok
2,44,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.000896,ok
2,45,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.000527,ok
2,46,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.000886,ok
2,47,0.716766832241505,-0.144622099478417,35.5939741482828,10,0.000967,ok
2,48,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0009995,ok
2,49,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0008704,ok
2,50,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0005261,ok
2,51,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0009299,ok
2,52,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0008726,ok
2,53,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0006449,ok
2,54,0.718931207318461,-0.143312664153048,35.7014550012897,11,0.0007003,ok
2,55,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0010531,ok
2,56,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0008739,ok
