ProblemId,Family,Dimension,Replicate,Method,ProbeSeed,RfSeed,ProbeCount,ProbeFeasibleCount,ProbeInfeasibleCount,ProbeFeasibleRate,PredictedFeasibleRate,TruePositive,FalsePositive,FalseNegative,TrueNegative,AUC,AveragePrecision,Brier,BalancedBrier,ECE10,FalsePositiveRate,FalseNegativeRate,FalseDiscoveryRate,BalancedAccuracy,BalancedError,DomainError,ConfidentFalsePositiveRate,ConfidentFalseNegativeRate,AmbiguousRate,ZeroMass,OneMass,PredictionFile
WELDEDBEAM,WELDEDBEAM,4,1,clipped_GP_mean,2026073101,2026073501,262144,87209,174935,0.332675933837891,0.304477691650391,71808,8009,15401,166926,0.946739812738947,0.925907042397043,0.078095151298706,0.0916433330566754,0.0579388710895287,0.0457827192957384,0.176598745542318,0.100342032399113,0.888809267580972,0.111190732419028,0.0893020629882812,0.0154343041701203,0.0995424784139252,0.163253784179688,0.292774200439453,0.140922546386719,
WELDEDBEAM,WELDEDBEAM,4,1,offline_RF_proxy,2026073101,2026073501,262144,87209,174935,0.332675933837891,0.338104248046875,71942,16690,15267,158245,0.942253606535381,0.911748804985169,0.0941257091803117,0.0991650301863952,0.0842167513711112,0.0954068654071512,0.175062206882317,0.188306706381442,0.864765463855266,0.135234536144734,0.121906280517578,0.0464629719610141,0.0718159822954053,0.200969696044922,0,0.00153350830078125,
WELDEDBEAM,WELDEDBEAM,4,2,clipped_GP_mean,2026073101,2026073502,262144,87209,174935,0.332675933837891,0.399208068847656,77380,27270,9829,147665,0.939280915941565,0.895181216834919,0.104284702422946,0.09852122833368,0.101475939085897,0.155886472118215,0.112706257381692,0.260582895365504,0.865703635250046,0.134296364749954,0.141521453857422,0.0809557835767571,0.0589044708688323,0.173873901367188,0.204959869384766,0.1875,
WELDEDBEAM,WELDEDBEAM,4,2,offline_RF_proxy,2026073101,2026073502,262144,87209,174935,0.332675933837891,0.509239196777344,81654,51840,5555,123095,0.949466258508115,0.923631081978369,0.143286681908091,0.118024162024981,0.2005314166836,0.29633864006631,0.0636975541515211,0.388332059867859,0.819981902891084,0.180018097108916,0.218944549560547,0.178437705433447,0.0171656595076196,0.212509155273438,0,0.00646591186523438,
WELDEDBEAM,WELDEDBEAM,4,3,clipped_GP_mean,2026073101,2026073503,262144,87209,174935,0.332675933837891,0.341594696044922,70526,19021,16683,155914,0.920417590146839,0.881442101815294,0.107766073357671,0.112363130007174,0.0832547731544352,0.108731814674022,0.191299063170086,0.212413592861849,0.849984561077946,0.150015438922054,0.136199951171875,0.0452739588990196,0.0880872387024275,0.226188659667969,0.114715576171875,0.135063171386719,
WELDEDBEAM,WELDEDBEAM,4,3,offline_RF_proxy,2026073101,2026073503,262144,87209,174935,0.332675933837891,0.368991851806641,77594,19135,9615,155800,0.959617762737829,0.936137860678912,0.0974470847149245,0.0938955803408347,0.137550205919479,0.109383485294538,0.110252382208258,0.197820715607522,0.890182066248602,0.109817933751398,0.109672546386719,0.0290393574756338,0.0184499306264262,0.270282745361328,7.62939453125e-06,0.00258636474609375,
WELDEDBEAM,WELDEDBEAM,4,4,clipped_GP_mean,2026073101,2026073504,262144,87209,174935,0.332675933837891,0.299911499023438,67479,11141,19730,163794,0.928834326229708,0.892621034891126,0.091651317271115,0.107813613425619,0.0423483374933068,0.063686512133078,0.226238117625474,0.141706944797761,0.855037685120724,0.144962314879276,0.117763519287109,0.0272444050647383,0.124092696854682,0.160709381103516,0.235549926757812,0.126911163330078,
WELDEDBEAM,WELDEDBEAM,4,4,offline_RF_proxy,2026073101,2026073504,262144,87209,174935,0.332675933837891,0.430679321289062,80670,32230,6539,142705,0.94466834483397,0.905008412098575,0.114370222852107,0.102283339916546,0.133807381990727,0.184239860519622,0.07498079326675,0.285473870682019,0.870389673106814,0.129610326893186,0.147891998291016,0.101031811815817,0.0222454104507562,0.227260589599609,0,0.00054931640625,
WELDEDBEAM,WELDEDBEAM,4,5,clipped_GP_mean,2026073101,2026073505,262144,87209,174935,0.332675933837891,0.275066375732422,65319,6788,21890,168147,0.916465392331787,0.893689440059867,0.0936279468677034,0.118047760065801,0.0619247140111668,0.0388029839654729,0.251006203488172,0.0941378784306655,0.855095406273177,0.144904593726822,0.109397888183594,0.0110898333666791,0.162208028987834,0.16229248046875,0.332492828369141,0.118083953857422,
WELDEDBEAM,WELDEDBEAM,4,5,offline_RF_proxy,2026073101,2026073505,262144,87209,174935,0.332675933837891,0.328849792480469,68271,17935,18938,157000,0.941875517692732,0.910802080771834,0.0936877069288642,0.102936378008095,0.0968466666766578,0.102523794552262,0.217156486142485,0.208048163700902,0.840159859652626,0.159840140347374,0.140659332275391,0.0330065452882499,0.136052471648568,0.139278411865234,0.00154495239257812,0.000255584716796875,
