Family,Method,Replicate,LowDimension,HighDimension,LowPrevalence,HighPrevalence,LowAUC,HighAUC,DeltaAUC,LowAveragePrecision,HighAveragePrecision,DeltaAveragePrecision,LowBrier,HighBrier,DeltaBrier,LowBalancedBrier,HighBalancedBrier,DeltaBalancedBrier,LowECE10,HighECE10,DeltaECE10,LowBalancedAccuracy,HighBalancedAccuracy,DeltaBalancedAccuracy,LowBalancedError,HighBalancedError,DeltaBalancedError,LowFalsePositiveRate,HighFalsePositiveRate,DeltaFalsePositiveRate,LowFalseNegativeRate,HighFalseNegativeRate,DeltaFalseNegativeRate,LowFalseDiscoveryRate,HighFalseDiscoveryRate,DeltaFalseDiscoveryRate,LowDomainError,HighDomainError,DeltaDomainError,LowConfidentFalsePositiveRate,HighConfidentFalsePositiveRate,DeltaConfidentFalsePositiveRate,LowConfidentFalseNegativeRate,HighConfidentFalseNegativeRate,DeltaConfidentFalseNegativeRate,LowPredictedFeasibleRate,HighPredictedFeasibleRate,DeltaPredictedFeasibleRate,LowAmbiguousRate,HighAmbiguousRate,DeltaAmbiguousRate,LowZeroMass,HighZeroMass,DeltaZeroMass,LowOneMass,HighOneMass,DeltaOneMass
CF1,clipped_GP_mean,1,4,10,0.496562957763672,0.523956298828125,0.818129879344149,0.639540922374755,-0.178588956969394,0.763869082056583,0.646629606107707,-0.117239475948876,0.213185559292066,0.384576350524758,0.171390791232692,0.214126967614972,0.368954542170891,0.154827574555919,0.19015320286553,0.374921869494066,0.184768666628536,0.668193586154459,0.549710291808731,-0.118483294345727,0.331806413845541,0.450289708191269,0.118483294345727,0.0787206474051511,0.051782165523431,-0.0269384818817201,0.584892180285932,0.848797250859107,0.263905070573175,0.161259778964361,0.237311788468601,0.0760520095042397,0.330066680908203,0.469383239746094,0.139316558837891,0.0215650170868284,0.0238877492146932,0.00232273212786488,0.219757088752487,0.740731842273866,0.520974753521379,0.245758056640625,0.103874206542969,-0.141883850097656,0.471836090087891,0.131443023681641,-0.34039306640625,0.173919677734375,0.48590087890625,0.311981201171875,0.00362396240234375,0.011993408203125,0.00836944580078125
CF1,clipped_GP_mean,2,4,10,0.496562957763672,0.523956298828125,0.825162159015067,0.63126583484706,-0.193896324168007,0.770927844266038,0.64522583491116,-0.125702009354878,0.220075831422613,0.387927024704881,0.167851193282268,0.221121092337105,0.371907264984203,0.150786172647098,0.211844781436789,0.378992223549186,0.167147442112397,0.628793824286861,0.543879792373834,-0.0849140319130263,0.371206175713139,0.456120207626166,0.0849140319130263,0.0579588249111561,0.0414048977498558,-0.0165539271613003,0.684453526515122,0.870835517502475,0.186381990987353,0.156986290123964,0.225554391478959,0.0685681013549957,0.369052886962891,0.475990295410156,0.106937408447266,0.0234896531866367,0.0170123084813129,-0.00647734470532376,0.256447288566578,0.765369270196284,0.508921981629706,0.185867309570312,0.0873870849609375,-0.098480224609375,0.436260223388672,0.125110626220703,-0.311149597167969,0.207790374755859,0.455131530761719,0.247341156005859,0.00549697875976562,0.00791549682617188,0.00241851806640625
CF1,clipped_GP_mean,3,4,10,0.496562957763672,0.523956298828125,0.81532832912361,0.651240802093484,-0.164087527030126,0.762615607084307,0.69722997098145,-0.0653856361028575,0.218077146151497,0.345990281967778,0.127913135816281,0.219076373603525,0.332221318857614,0.113144945254089,0.207409179050515,0.327140623342165,0.11973144429165,0.681030956656419,0.603170126252061,-0.0778608304043571,0.318969043343581,0.396829873747939,0.0778608304043572,0.0815545604025066,0.0538816590807103,-0.0276729013217963,0.556383526284656,0.739778088415167,0.183394562130511,0.157103446262535,0.158338435454246,0.00123498919171089,0.317337036132812,0.413261413574219,0.0959243774414062,0.0348177278685792,0.0206663888710815,-0.0141513389974977,0.268700401779198,0.63112295416157,0.362422552382372,0.261341094970703,0.161994934082031,-0.0993461608886719,0.392051696777344,0.153728485107422,-0.238323211669922,0.239917755126953,0.477016448974609,0.237098693847656,0.0101318359375,0.026611328125,0.0164794921875
CF1,clipped_GP_mean,4,4,10,0.496562957763672,0.523956298828125,0.818640706382231,0.654587893524438,-0.164052812857792,0.782574474842322,0.664077265479135,-0.118497209363187,0.222219096433383,0.349450672492295,0.127231576058912,0.223306621171963,0.335814834871887,0.112508213699924,0.212204908898507,0.332860975216991,0.120656066318483,0.634618122283502,0.554730480454184,-0.0798876418293187,0.365381877716498,0.445269519545816,0.0798876418293188,0.0542459442461716,0.0559170459644849,0.00167110171831333,0.676517811186824,0.834621993127148,0.158104181940324,0.145310248239186,0.23500488330583,0.0896946350666432,0.363243103027344,0.463924407958984,0.100681304931641,0.0226713039788442,0.0188794153471376,-0.00379188863170652,0.283634603713577,0.673051721125284,0.389417117411707,0.187938690185547,0.113269805908203,-0.0746688842773438,0.391529083251953,0.192081451416016,-0.199447631835938,0.210681915283203,0.329059600830078,0.118377685546875,0.00852584838867188,0.00526809692382812,-0.00325775146484375
CF1,clipped_GP_mean,5,4,10,0.496562957763672,0.523956298828125,0.81073120960539,0.697949567152489,-0.112781642452901,0.757537184386754,0.731066640459353,-0.0264705439274003,0.203991075342427,0.318647406124094,0.114656330781666,0.204707544514479,0.306174305597108,0.101466761082629,0.1564510855239,0.305651171441657,0.149200085917757,0.687638220662203,0.611453573838019,-0.0761846468241838,0.312361779337797,0.388546426161981,0.0761846468241838,0.107719003129428,0.0514536188217193,-0.0562653843077087,0.517004555546166,0.725639233502242,0.208634677956076,0.184412619344126,0.14558440086158,-0.0388282184825459,0.310955047607422,0.404697418212891,0.0937423706054688,0.0362498389822161,0.0195605487531252,-0.0166892902290909,0.181822372110532,0.596569398334207,0.414747026223675,0.2940673828125,0.168247222900391,-0.125820159912109,0.479743957519531,0.170150756835938,-0.309593200683594,0.186740875244141,0.373668670654297,0.186927795410156,0.0097198486328125,0.0271987915039062,0.0174789428710938
CF1,offline_RF_proxy,1,4,10,0.496562957763672,0.523956298828125,0.716063515258589,0.660228454121681,-0.0558350611369078,0.677957925806505,0.679391259096453,0.00143333328994777,0.284763422187821,0.260941690365634,-0.0238217318221872,0.286315696980613,0.254021241629944,-0.0322944553506689,0.253004921353053,0.175570410269278,-0.0774345110837747,0.562992350824258,0.585468497405998,0.0224761465817402,0.437007649175742,0.414531502594002,-0.0224761465817402,0.0691201988285483,0.0935877299826912,0.0244675311541429,0.804895099522935,0.735475275205312,-0.0694198243176234,0.26426026246415,0.24325168707823,-0.0210085753859197,0.434478759765625,0.429908752441406,-0.00457000732421875,0.00769854439923318,0.020530162189884,0.0128316177906508,0.566201381260035,0.430783679888171,-0.135417701371864,0.131679534912109,0.183151245117188,0.0514717102050781,0.294971466064453,0.407333374023438,0.112361907958984,0.00020599365234375,0,-0.00020599365234375,0,0,0
CF1,offline_RF_proxy,2,4,10,0.496562957763672,0.523956298828125,0.767375865572542,0.692352827128338,-0.0750230384442041,0.779359045920727,0.722379683648926,-0.0569793622718009,0.2500411250716,0.224097456763509,-0.0259436683080915,0.251415972776518,0.222340366075601,-0.029075606700916,0.228007467335494,0.0567181147721712,-0.171289352563323,0.60417313808911,0.647557852417626,0.043384714328516,0.39582686191089,0.352442147582374,-0.0433847143285159,0.0258840823501777,0.229798384511828,0.20391430216165,0.765769641471603,0.475085910652921,-0.290683730818682,0.100749129947502,0.284564624162739,0.183815494215237,0.393283843994141,0.358318328857422,-0.0349655151367188,0.00128814227152524,0.0472305917045964,0.0459424494330712,0.454855536179333,0.146805288601549,-0.308050247577784,0.129341125488281,0.384426116943359,0.255084991455078,0.320465087890625,0.641845703125,0.321380615234375,0,0,0,0,0,0
CF1,offline_RF_proxy,3,4,10,0.496562957763672,0.523956298828125,0.782615446689436,0.676711848270896,-0.10590359841854,0.751111676441666,0.722096321053668,-0.029015355387998,0.230551888574439,0.234646156786858,0.00409426821241923,0.2316461411246,0.230567352007991,-0.0010787891166088,0.188399287556845,0.107352541855403,-0.0810467457014419,0.641450036391674,0.627489339535143,-0.0139606968565302,0.358549963608326,0.372510660464857,0.0139606968565302,0.062921961310268,0.154312776460029,0.0913908151497615,0.654177965906385,0.590708544469684,-0.063469421436701,0.155738934733683,0.255147468002226,0.0994085332685425,0.356517791748047,0.382965087890625,0.0264472961425781,0.0287861911148493,0.0285675363805372,-0.000218654734312037,0.411566324296502,0.286118877045838,-0.125447447250664,0.203399658203125,0.287910461425781,0.0845108032226562,0.304454803466797,0.498947143554688,0.194492340087891,0,0,0,0,0,0
CF1,offline_RF_proxy,4,4,10,0.496562957763672,0.523956298828125,0.752282571149032,0.737711626903997,-0.0145709442450346,0.716742427094239,0.75185450219812,0.0351120751038808,0.258805395776839,0.210212739545779,-0.0485926562310597,0.260173958745053,0.208786908579323,-0.0513870501657303,0.224663120514501,0.0502426931214711,-0.17442042739303,0.578936137255232,0.683406292619816,0.104470155364583,0.421063862744768,0.316593707380184,-0.104470155364583,0.0618156744182522,0.211111289185204,0.149295614766952,0.780312051071283,0.422076125575165,-0.358235925496119,0.221956196435859,0.249186561234914,0.0272303647990545,0.418594360351562,0.321647644042969,-0.0969467163085938,0.00659225750721739,0.061510353227771,0.0549180957205536,0.524632982768819,0.13722406663172,-0.387408916137099,0.140209197998047,0.403305053710938,0.263095855712891,0.297187805175781,0.563911437988281,0.2667236328125,0,0,0,0,0,0
CF1,offline_RF_proxy,5,4,10,0.496562957763672,0.523956298828125,0.796926130914944,0.734418951958355,-0.0625071789565896,0.791452150589542,0.744127530211545,-0.0473246203779966,0.220520765091016,0.215257403607435,-0.0052633614835812,0.221533205517121,0.214600178296846,-0.00693302722027522,0.172451765650795,0.0757700648131197,-0.0966817008376751,0.648873205670228,0.668456196952488,0.0195829912822609,0.351126794329772,0.331543803047512,-0.0195829912822609,0.0510255885673585,0.209268222321944,0.158242633754585,0.651228000092186,0.453819383773079,-0.197408616319107,0.129167146200176,0.258221765182827,0.12905461898265,0.349063873291016,0.33740234375,-0.0116615295410156,0.00291726337963068,0.137781268030002,0.134864004650371,0.323950803174286,0.155410915021259,-0.168539888153027,0.198875427246094,0.385795593261719,0.186920166015625,0.432502746582031,0.444934844970703,0.0124320983886719,0,0,0,0,0,0
