Metric,Value
SampleCount,6250000
FeasibleCount,2118558
InfeasibleCount,4131442
BrierScore,0.067608644294371
ROCAUC,0.956915798881408
EqualWidthECE,0.0348750534139173
FalseFeasibleRate,0.0627120022500618
FalseInfeasibleRate,0.137600669889614
Sensitivity,0.862399330110386
Specificity,0.937287997749938
BalancedAccuracy,0.899843663930162
Threshold,0.5
