FalseFeasibleRate,TrueFeasibleRate,Threshold
0,0,Inf
0.00335282451018313,0.547199085415646,0.999740413087852
0.0033569392962554,0.547432734907423,0.999472111345966
0.00336323249848358,0.547661664207447,0.999180649391267
0.00337000979319085,0.54788964946912,0.998903268021164
0.00337678708789812,0.548118106749969,0.998622284957595
0.00338525870628221,0.548342787877415,0.998334283468172
0.00339058372355221,0.54857360525414,0.998075175795931
0.00339469850962448,0.548807254745917,0.997811064772141
0.00340195989681085,0.549034295969239,0.997534259156641
0.00340946333023676,0.549260865173387,0.997250838796647
0.0034150303937463,0.549491682550112,0.996991964160976
0.00342277587341175,0.549717779735084,0.996709387563906
0.0034283429369213,0.549948597111809,0.996444399337396
0.00343391000043084,0.550178942469359,0.996172557797224
0.00343971911017993,0.550408815807733,0.995890600216431
0.00344528617368948,0.550639633184459,0.995622375815918
0.00345230551463629,0.550867146426956,0.995340246259833
0.00345908280934357,0.55109513168863,0.995070688088329
0.00346586010405084,0.551323588969478,0.994814893807202
0.0034731214912372,0.551550630192801,0.994557814992669
0.00347893060098629,0.551780503531175,0.99428592793333
0.00348546584945402,0.552009432831199,0.994003894539855
0.00349151700544265,0.552238834150399,0.993729136123376
0.0034970840689522,0.552469179507948,0.993451539734588
0.00350531364109674,0.552694804673745,0.993170378157315
0.0035125750282831,0.552921845897068,0.992902327966964
0.00351814209179265,0.553152191254618,0.992624469959634
0.0035258875714581,0.553378760458765,0.992329783045866
0.00353339100488401,0.553605329662912,0.992079800108717
0.00354355694694492,0.553826706656131,0.991806034224453
0.00354936605669401,0.554057052013681,0.99150024684803
0.0035551751664431,0.554286925352055,0.991230598516012
0.0035631626923481,0.554512550517852,0.990939147065499
0.00357042407953446,0.55474006376035,0.990653874511783
0.00357695932800218,0.554968521041199,0.990390610247359
0.00358276843775127,0.555198394379573,0.990109774803446
0.00358857754750036,0.555428739737123,0.989825445332752
0.00359680711964491,0.555653892883745,0.98953229249335
0.00360382646059173,0.555881878145418,0.989250114646657
0.00361036170905945,0.556110335426266,0.988989397734501
0.00361810718872491,0.556336432611238,0.988713771222481
0.00362464243719263,0.556565361911262,0.988429600516404
0.0036314197318999,0.556793347172936,0.988158139050317
0.00363868111908627,0.557020388396258,0.98788542987477
0.00364642659875172,0.557246957600406,0.987609124564682
0.00365393003217763,0.557473526804553,0.987338874195447
0.00366191755808263,0.55769915197035,0.987049949943043
0.00366772666783172,0.557929497327899,0.986774609927695
0.00367595623997626,0.558154650474521,0.986483907320173
0.00368079716476717,0.558386411889597,0.986206021839836
0.00368781650571399,0.55861439715127,0.985935858813479
0.00369677221657717,0.558838134240365,0.98566000815536
0.00370209723384717,0.55906895161709,0.98538602864491
0.00370935862103353,0.559296464859589,0.985134113208289
0.00371516773078262,0.559526338197963,0.984856022374704
0.00372097684053171,0.559756211536337,0.984582836220974
0.00372775413523898,0.559984668817186,0.984315953544268
0.00373598370738352,0.560209821963807,0.984039188395755
0.00374251895585125,0.560438279244656,0.983768769417632
0.00374784397312125,0.560669568640557,0.983484230930099
0.00375486331406807,0.560897081883054,0.983221961817008
0.00376454516364988,0.561119402914624,0.982956955415118
0.00377035427339897,0.561349748272174,0.982672724406899
0.0037795520305017,0.561573013342094,0.982398567703225
0.00378802364888579,0.561798166488715,0.98212982146452
0.00379455889735351,0.562026623769564,0.981850368609675
0.0038008520995817,0.562255553069588,0.981566820950187
0.00380738734804942,0.562484482369612,0.981294291828679
0.00381416464275669,0.562712467631285,0.98101341154228
0.00382094193746397,0.562940452892958,0.980711810052628
0.00382820332465033,0.563167966135456,0.980451501424552
0.00383570675807624,0.563394535339604,0.980175829664114
0.00384248405278351,0.563622520601277,0.979899802298117
0.00385119771740714,0.563847201728723,0.979637126842332
0.00385773296587487,0.564075659009572,0.979360843499973
0.0038642682143426,0.56430411629042,0.979097771438958
0.00387298187896623,0.564528797417866,0.978803273881432
0.00387879098871532,0.564758670756241,0.978544373554193
0.00388556828342259,0.564986656017914,0.978245834828855
0.00389428194804623,0.56521133714536,0.97796510912245
0.00390009105779532,0.565441210483735,0.977695315240511
0.00390614221378395,0.565670611802934,0.977419875427127
0.00391049904609577,0.565903789275536,0.977144856422192
0.00391679224832395,0.566132718575559,0.976864011197324
0.00392429568174986,0.566359287779707,0.976591587826124
0.00393058888397804,0.566588689098906,0.976295974715068
0.00393833436364349,0.566814786283878,0.976021145978007
0.00394777416698576,0.567037579334623,0.975741389668231
0.00395624578536985,0.567262732481244,0.975475937233038
0.0039644753575144,0.567487885627866,0.975155974547416
0.00397028446726349,0.567718230985416,0.974873215098533
0.00397851403940803,0.567943384132037,0.974597997250545
0.00398504928787576,0.568171841412886,0.974326741296156
0.00399376295249939,0.568396522540332,0.974052917810182
0.00400175047840439,0.568622147706128,0.973748648473631
0.00400755958815348,0.568852021044503,0.973463002734705
0.00401361074414212,0.569081894382877,0.973173909123931
0.00402184031628666,0.569307047529499,0.972904051244673
0.00402668124107757,0.569538808944575,0.972636776166305
0.00403394262826393,0.569766322187073,0.972371300060062
0.00404168810792939,0.569992419372045,0.97208059430822
0.00404846540263666,0.570220404633718,0.971794473973689
0.00405524269734393,0.570448861914566,0.971530215740769
0.00406347226948847,0.570674015061188,0.971271174595552
0.00407145979539347,0.570899640226985,0.97099061981291
0.00407702685890302,0.57113045760371,0.970722523008783
0.00408695075472438,0.571352306616104,0.970426623902289
0.00409372804943165,0.571580291877777,0.970145517239263
0.00410002125165983,0.571809693196976,0.969884153886037
0.00410558831516938,0.572040038554526,0.969611431479372
0.00411284970235574,0.572267079777849,0.969332246609757
0.00412132132073983,0.57249223292447,0.969060373786892
0.00412858270792619,0.572719274147793,0.968783705090693
0.0041360861413521,0.57294584335194,0.968497727482644
0.00414479980597573,0.573170524479386,0.968213592450455
0.00415181914692255,0.573398037721884,0.967929862211775
0.0041600487190671,0.573623662887681,0.967666989603753
0.00416900442993028,0.573847399976777,0.967368532382157
0.00417457149343982,0.574077745334326,0.967104254513123
0.00418110674190755,0.57430667463435,0.966820534157855
0.00418643175917755,0.574537492011076,0.966543061103673
0.004194177238843,0.574763589196048,0.966266575674553
0.00420337499594573,0.574987326285143,0.966000404110781
0.00421039433689254,0.575214839527641,0.96571678647723
0.00421838186279754,0.575440464693438,0.965446845465509
0.00422806371237936,0.575663257744183,0.96517515009304
0.00423605123828436,0.575888882909979,0.964904448558121
0.00424403876418936,0.576114508075776,0.964614522857379
0.0042522683363339,0.576340133241573,0.964321772618929
0.00425928767728072,0.576567646484071,0.964057919924953
0.00426872748062299,0.576790439534816,0.963774184242786
0.00427598886780935,0.577017952777314,0.963483242766742
0.00428300820875617,0.577245466019812,0.963203124336162
0.00429026959594253,0.577472507243134,0.962925002274123
0.00429801507560798,0.577699076447282,0.962646159110177
0.00430527646279435,0.577926117670604,0.962381194548394
0.00431277989622025,0.578152686874752,0.962113630000839
0.00432415606947889,0.578372175791269,0.961846640349363
0.00433383791906071,0.578594496822839,0.961556605633496
0.00434134135248661,0.578821066026986,0.961277133448992
0.00434884478591252,0.579048107250309,0.960979577089687
0.00435586412685934,0.579275620492807,0.960682763395684
0.00436457779148297,0.579500301620253,0.960394735926888
0.00437256531738797,0.57972592678605,0.960127340685931
0.00438055284329297,0.579951551951846,0.959841007215293
0.00438926650791661,0.580176233079293,0.959567158173548
0.00439652789510297,0.580403274302615,0.959281192751755
