Metric,Value
SampleCount,40401
FeasibleCount,12411
InfeasibleCount,27990
BrierScore,0.0930437067468956
ROCAUC,0.937046620095134
EqualWidthECE,0.0746812957175637
FalseFeasibleRate,0.0756698821007503
FalseInfeasibleRate,0.162275400854081
Sensitivity,0.837724599145919
Specificity,0.92433011789925
BalancedAccuracy,0.881027358522584
Threshold,0.5
