Case,SequentialIteration,EvaluationCount,FixedReferenceHypervolume,FractionOfRunFinalHypervolume,FeasibleCount,ReferenceF1,ReferenceF2
COSSIN1,0,20,4.07430367479406,0.785827945348261,8,2.18687405177065,1.22228287310487
COSSIN1,1,21,4.52533276679439,0.872819807749588,9,2.18687405177065,1.22228287310487
COSSIN1,2,22,4.67793998080648,0.902253797703345,10,2.18687405177065,1.22228287310487
COSSIN1,3,23,4.67793998080648,0.902253797703345,10,2.18687405177065,1.22228287310487
COSSIN1,4,24,4.74389001447712,0.914973855802026,11,2.18687405177065,1.22228287310487
COSSIN1,5,25,4.79986128766243,0.925769268740401,12,2.18687405177065,1.22228287310487
COSSIN1,6,26,4.84426828707901,0.934334231957672,13,2.18687405177065,1.22228287310487
COSSIN1,7,27,4.84426828707901,0.934334231957672,13,2.18687405177065,1.22228287310487
COSSIN1,8,28,4.84426828707901,0.934334231957672,13,2.18687405177065,1.22228287310487
COSSIN1,9,29,4.87756070040844,0.940755478592823,14,2.18687405177065,1.22228287310487
COSSIN1,10,30,4.88796080371854,0.942761389901337,15,2.18687405177065,1.22228287310487
COSSIN1,11,31,4.88796080371854,0.942761389901337,15,2.18687405177065,1.22228287310487
COSSIN1,12,32,4.89813790534046,0.944724289944019,16,2.18687405177065,1.22228287310487
COSSIN1,13,33,4.89813790534046,0.944724289944019,16,2.18687405177065,1.22228287310487
COSSIN1,14,34,4.90505286832827,0.946058007700622,17,2.18687405177065,1.22228287310487
COSSIN1,15,35,4.91564652298168,0.948101250064101,18,2.18687405177065,1.22228287310487
COSSIN1,16,36,4.921522459603,0.949234566471195,19,2.18687405177065,1.22228287310487
COSSIN1,17,37,4.92732084326992,0.950352924916471,20,2.18687405177065,1.22228287310487
COSSIN1,18,38,4.93441509584757,0.951721223004157,21,2.18687405177065,1.22228287310487
COSSIN1,19,39,4.9426557541871,0.953310633153266,22,2.18687405177065,1.22228287310487
COSSIN1,20,40,4.94678002363497,0.954106098205694,23,2.18687405177065,1.22228287310487
COSSIN1,21,41,4.95292293378874,0.95529090691165,24,2.18687405177065,1.22228287310487
COSSIN1,22,42,4.95972139732993,0.956602154934017,25,2.18687405177065,1.22228287310487
COSSIN1,23,43,4.96238036938962,0.957115001966832,26,2.18687405177065,1.22228287310487
COSSIN1,24,44,4.96478345985771,0.957578496049687,27,2.18687405177065,1.22228287310487
COSSIN1,25,45,4.99480903230387,0.963369653456349,28,2.18687405177065,1.22228287310487
COSSIN1,26,46,4.99480903230387,0.963369653456349,28,2.18687405177065,1.22228287310487
COSSIN1,27,47,5.16262505204357,0.995737029212953,29,2.18687405177065,1.22228287310487
COSSIN1,28,48,5.16262505204357,0.995737029212953,29,2.18687405177065,1.22228287310487
COSSIN1,29,49,5.1847273934607,1,30,2.18687405177065,1.22228287310487
COSSIN1,30,50,5.1847273934607,1,30,2.18687405177065,1.22228287310487
COSSIN2,0,20,3.9271210064916,0.760399444237511,7,2.09550657816669,1.23958461649474
COSSIN2,1,21,3.9271210064916,0.760399444237511,7,2.09550657816669,1.23958461649474
COSSIN2,2,22,3.9271210064916,0.760399444237511,7,2.09550657816669,1.23958461649474
COSSIN2,3,23,4.21771606720482,0.816666700148198,8,2.09550657816669,1.23958461649474
COSSIN2,4,24,4.21771606720482,0.816666700148198,8,2.09550657816669,1.23958461649474
COSSIN2,5,25,4.21771606720482,0.816666700148198,8,2.09550657816669,1.23958461649474
COSSIN2,6,26,4.21771606720482,0.816666700148198,8,2.09550657816669,1.23958461649474
COSSIN2,7,27,4.21771606720482,0.816666700148198,8,2.09550657816669,1.23958461649474
COSSIN2,8,28,4.41992493586163,0.855819940166105,9,2.09550657816669,1.23958461649474
COSSIN2,9,29,4.41992493586163,0.855819940166105,9,2.09550657816669,1.23958461649474
COSSIN2,10,30,4.52309640217637,0.875796794843416,10,2.09550657816669,1.23958461649474
COSSIN2,11,31,4.52309640217637,0.875796794843416,10,2.09550657816669,1.23958461649474
COSSIN2,12,32,4.58246917962706,0.887293009730025,11,2.09550657816669,1.23958461649474
COSSIN2,13,33,4.64948707356449,0.900269531008528,12,2.09550657816669,1.23958461649474
COSSIN2,14,34,4.64948707356449,0.900269531008528,12,2.09550657816669,1.23958461649474
COSSIN2,15,35,4.70134974463579,0.910311581201047,13,2.09550657816669,1.23958461649474
COSSIN2,16,36,4.70134974463579,0.910311581201047,13,2.09550657816669,1.23958461649474
COSSIN2,17,37,4.70134974463579,0.910311581201047,13,2.09550657816669,1.23958461649474
COSSIN2,18,38,4.72931222400064,0.91572589202401,14,2.09550657816669,1.23958461649474
COSSIN2,19,39,4.72931222400064,0.91572589202401,14,2.09550657816669,1.23958461649474
COSSIN2,20,40,4.77722671631294,0.925003465407915,15,2.09550657816669,1.23958461649474
COSSIN2,21,41,4.84184816275339,0.937515968047358,16,2.09550657816669,1.23958461649474
COSSIN2,22,42,4.91145919539313,0.950994592832426,17,2.09550657816669,1.23958461649474
COSSIN2,23,43,4.96849205082118,0.962037733978085,18,2.09550657816669,1.23958461649474
COSSIN2,24,44,4.96849205082118,0.962037733978085,18,2.09550657816669,1.23958461649474
COSSIN2,25,45,5.0035855480494,0.968832807454196,19,2.09550657816669,1.23958461649474
COSSIN2,26,46,5.0035855480494,0.968832807454196,19,2.09550657816669,1.23958461649474
COSSIN2,27,47,5.0035855480494,0.968832807454196,19,2.09550657816669,1.23958461649474
COSSIN2,28,48,5.0035855480494,0.968832807454196,19,2.09550657816669,1.23958461649474
COSSIN2,29,49,5.02689450926312,0.973346068217835,20,2.09550657816669,1.23958461649474
COSSIN2,30,50,5.04436060574355,0.976727988468004,21,2.09550657816669,1.23958461649474
COSSIN2,31,51,5.04436060574355,0.976727988468004,21,2.09550657816669,1.23958461649474
COSSIN2,32,52,5.04436060574355,0.976727988468004,21,2.09550657816669,1.23958461649474
COSSIN2,33,53,5.04436060574355,0.976727988468004,21,2.09550657816669,1.23958461649474
COSSIN2,34,54,5.04436060574355,0.976727988468004,21,2.09550657816669,1.23958461649474
COSSIN2,35,55,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,36,56,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,37,57,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,38,58,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,39,59,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,40,60,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,41,61,5.05562714527349,0.978909502707797,22,2.09550657816669,1.23958461649474
COSSIN2,42,62,5.08536824951617,0.984668204591379,23,2.09550657816669,1.23958461649474
COSSIN2,43,63,5.08536824951617,0.984668204591379,23,2.09550657816669,1.23958461649474
COSSIN2,44,64,5.08536824951617,0.984668204591379,23,2.09550657816669,1.23958461649474
COSSIN2,45,65,5.09213037145139,0.985977538771027,24,2.09550657816669,1.23958461649474
COSSIN2,46,66,5.09213037145139,0.985977538771027,24,2.09550657816669,1.23958461649474
COSSIN2,47,67,5.09213037145139,0.985977538771027,24,2.09550657816669,1.23958461649474
COSSIN2,48,68,5.09682357326152,0.986886272686334,25,2.09550657816669,1.23958461649474
COSSIN2,49,69,5.10562454879131,0.988590385416891,26,2.09550657816669,1.23958461649474
COSSIN2,50,70,5.10562454879131,0.988590385416891,26,2.09550657816669,1.23958461649474
COSSIN2,51,71,5.11006960008553,0.989451070516266,27,2.09550657816669,1.23958461649474
COSSIN2,52,72,5.11575264736699,0.990551465942651,28,2.09550657816669,1.23958461649474
COSSIN2,53,73,5.11575264736699,0.990551465942651,28,2.09550657816669,1.23958461649474
COSSIN2,54,74,5.11575264736699,0.990551465942651,28,2.09550657816669,1.23958461649474
COSSIN2,55,75,5.12355779086219,0.992062757997603,29,2.09550657816669,1.23958461649474
COSSIN2,56,76,5.14522641066621,0.996258403211776,30,2.09550657816669,1.23958461649474
COSSIN2,57,77,5.15780064854006,0.998693124086224,31,2.09550657816669,1.23958461649474
COSSIN2,58,78,5.15780064854006,0.998693124086224,31,2.09550657816669,1.23958461649474
COSSIN2,59,79,5.15780064854006,0.998693124086224,31,2.09550657816669,1.23958461649474
COSSIN2,60,80,5.1645500746381,1,32,2.09550657816669,1.23958461649474
BNH,0,10,5720.95798995901,0.894298188184027,9,149.6,55
BNH,1,11,5880.27007076247,0.919201797941068,10,149.6,55
BNH,2,12,6001.47331458247,0.938148247388957,11,149.6,55
BNH,3,13,6078.44685452461,0.950180724716912,12,149.6,55
BNH,4,14,6147.14497217691,0.960919590874632,13,149.6,55
BNH,5,15,6160.18906732651,0.962958639348551,14,149.6,55
BNH,6,16,6200.06029330905,0.969191295700766,15,149.6,55
BNH,7,17,6224.0014881206,0.97293377505134,16,149.6,55
BNH,8,18,6244.38290026675,0.976119790398232,17,149.6,55
BNH,9,19,6262.15453940167,0.978897846924309,18,149.6,55
BNH,10,20,6280.25528527394,0.98172734930254,19,149.6,55
BNH,11,21,6298.54998970534,0.984587171216122,20,149.6,55
BNH,12,22,6312.15842379713,0.986714436959669,21,149.6,55
BNH,13,23,6323.07363554657,0.988420699111621,22,149.6,55
BNH,14,24,6332.68096101364,0.989922512929091,23,149.6,55
BNH,15,25,6339.69825264143,0.991019453546328,24,149.6,55
BNH,16,26,6346.6629184618,0.992108167715423,25,149.6,55
BNH,17,27,6351.84258971425,0.992917852146699,26,149.6,55
BNH,18,28,6356.67556819413,0.993673341682835,27,149.6,55
BNH,19,29,6361.21604301778,0.994383107147887,28,149.6,55
BNH,20,30,6366.08108284595,0.995143608502977,29,149.6,55
BNH,21,31,6370.40378352453,0.995819331588464,30,149.6,55
BNH,22,32,6374.6739484077,0.996486842296455,31,149.6,55
BNH,23,33,6378.60022941161,0.997100597194544,32,149.6,55
BNH,24,34,6378.60022941161,0.997100597194544,33,149.6,55
BNH,25,35,6382.68556785529,0.997739215896991,34,149.6,55
BNH,26,36,6386.6151162741,0.998353481556255,35,149.6,55
BNH,27,37,6389.74068096125,0.998842068754706,36,149.6,55
BNH,28,38,6392.89074002786,0.999334484906142,37,149.6,55
BNH,29,39,6395.17778200459,0.999691994522483,38,149.6,55
BNH,30,40,6397.14813867179,1,39,149.6,55
BNH_ALLINFEAS,0,10,0,0,0,110,27.5
BNH_ALLINFEAS,1,11,25,0.0171052205661454,1,110,27.5
BNH_ALLINFEAS,2,12,838.321709295187,0.573587109715288,2,110,27.5
BNH_ALLINFEAS,3,13,1048.5300534356,0.717413513369928,3,110,27.5
BNH_ALLINFEAS,4,14,1152.3483910195,0.788446935897252,4,110,27.5
BNH_ALLINFEAS,5,15,1244.23924991786,0.851319472276009,5,110,27.5
BNH_ALLINFEAS,6,16,1309.57144940714,0.896020339569432,6,110,27.5
BNH_ALLINFEAS,7,17,1340.4083224217,0.917119200148802,7,110,27.5
BNH_ALLINFEAS,8,18,1358.62879021915,0.92958580496855,8,110,27.5
BNH_ALLINFEAS,9,19,1375.44337777637,0.941090494124355,9,110,27.5
BNH_ALLINFEAS,10,20,1392.91757647605,0.953046495043337,10,110,27.5
BNH_ALLINFEAS,11,21,1410.01941010175,0.964747720493467,11,110,27.5
BNH_ALLINFEAS,12,22,1419.70433429589,0.971374231073751,12,110,27.5
BNH_ALLINFEAS,13,23,1427.30763935446,0.976576479476092,13,110,27.5
BNH_ALLINFEAS,14,24,1433.91623097213,0.981098136166165,14,110,27.5
BNH_ALLINFEAS,15,25,1440.28916349933,0.985458552827401,15,110,27.5
BNH_ALLINFEAS,16,26,1447.26814557821,0.990233633938856,16,110,27.5
BNH_ALLINFEAS,17,27,1450.72606058005,0.992599569891078,17,110,27.5
BNH_ALLINFEAS,18,28,1454.74601050851,0.995350055098726,18,110,27.5
BNH_ALLINFEAS,19,29,1458.32520233879,0.997798969726947,19,110,27.5
BNH_ALLINFEAS,20,30,1461.54210074788,1,20,110,27.5
SRN,0,10,4485.48981403019,0.181329504828159,1,238.175862087054,-9.09613358168709
SRN,1,11,4485.48981403019,0.181329504828159,1,238.175862087054,-9.09613358168709
SRN,2,12,9279.29940255829,0.375123082557245,2,238.175862087054,-9.09613358168709
SRN,3,13,11024.6278564437,0.445679377951253,3,238.175862087054,-9.09613358168709
SRN,4,14,15864.2715889107,0.641325837521399,4,238.175862087054,-9.09613358168709
SRN,5,15,16283.431464324,0.658270709944203,5,238.175862087054,-9.09613358168709
SRN,6,16,16872.9444577275,0.682102243091206,6,238.175862087054,-9.09613358168709
SRN,7,17,18354.6306287018,0.742000588831091,7,238.175862087054,-9.09613358168709
SRN,8,18,18559.2939635164,0.750274267447487,8,238.175862087054,-9.09613358168709
SRN,9,19,20064.593612801,0.811127206889909,9,238.175862087054,-9.09613358168709
SRN,10,20,21029.0206947213,0.850114941219495,10,238.175862087054,-9.09613358168709
SRN,11,21,22344.0220999225,0.903274922300632,11,238.175862087054,-9.09613358168709
SRN,12,22,22677.4251206177,0.916753005443694,12,238.175862087054,-9.09613358168709
