x1,x2,RawMean,p_i,IsFeasible
0.00248756218905473,0.00248756218905473,1.2469205739205,1,1
0.00248756218905473,0.00746268656716418,1.23337488326857,1,1
0.00248756218905473,0.0124378109452736,1.20963735959292,1,1
0.00248756218905473,0.0174129353233831,1.17874628738333,1,1
0.00248756218905473,0.0223880597014925,1.1431052591175,1,1
0.00248756218905473,0.027363184079602,1.10459322887536,1,1
0.00248756218905473,0.0323383084577114,1.06466273143956,1,1
0.00248756218905473,0.0373134328358209,1.02442153511396,1,1
0.00248756218905473,0.0422885572139304,0.984699993050107,0.984699993050107,1
0.00248756218905473,0.0472636815920398,0.946106412167878,0.946106412167878,1
0.00248756218905473,0.0522388059701493,0.909072444460833,0.909072444460833,1
0.00248756218905473,0.0572139303482587,0.873890192308145,0.873890192308145,1
0.00248756218905473,0.0621890547263682,0.840742446246538,0.840742446246538,1
0.00248756218905473,0.0671641791044776,0.80972724151961,0.80972724151961,1
0.00248756218905473,0.0721393034825871,0.780877723943417,0.780877723943417,1
0.00248756218905473,0.0771144278606965,0.754178151005404,0.754178151005404,1
0.00248756218905473,0.082089552238806,0.729576715914617,0.729576715914617,1
0.00248756218905473,0.0870646766169154,0.706995766440362,0.706995766440362,1
0.00248756218905473,0.0920398009950249,0.686339893311176,0.686339893311176,1
0.00248756218905473,0.0970149253731343,0.667502281724749,0.667502281724749,1
0.00248756218905473,0.101990049751244,0.650369651628869,0.650369651628869,1
0.00248756218905473,0.106965174129353,0.6348260557502,0.6348260557502,1
0.00248756218905473,0.111940298507463,0.620755757079678,0.620755757079678,1
0.00248756218905473,0.116915422885572,0.608045368158748,0.608045368158748,1
0.00248756218905473,0.121890547263682,0.596585401775268,0.596585401775268,1
0.00248756218905473,0.126865671641791,0.586271355497444,0.586271355497444,1
0.00248756218905473,0.131840796019901,0.577004429944368,0.577004429944368,1
0.00248756218905473,0.13681592039801,0.568691962050986,0.568691962050986,1
0.00248756218905473,0.141791044776119,0.561247639193237,0.561247639193237,1
0.00248756218905473,0.146766169154229,0.554591547357192,0.554591547357192,1
0.00248756218905473,0.151741293532338,0.548650096112035,0.548650096112035,1
0.00248756218905473,0.156716417910448,0.543355854601136,0.543355854601136,1
0.00248756218905473,0.161691542288557,0.538647325780097,0.538647325780097,1
0.00248756218905473,0.166666666666667,0.534468680439054,0.534468680439054,1
0.00248756218905473,0.171641791044776,0.530769467925758,0.530769467925758,1
0.00248756218905473,0.176616915422886,0.527504316749945,0.527504316749945,1
0.00248756218905473,0.181592039800995,0.524632635242708,0.524632635242708,1
0.00248756218905473,0.186567164179104,0.522118320037737,0.522118320037737,1
0.00248756218905473,0.191542288557214,0.519929478226503,0.519929478226503,1
0.00248756218905473,0.196517412935323,0.518038167527244,0.518038167527244,1
0.00248756218905473,0.201492537313433,0.516420157623566,0.516420157623566,1
0.00248756218905473,0.206467661691542,0.515054714910905,0.515054714910905,1
0.00248756218905473,0.211442786069652,0.513924412186644,0.513924412186644,1
0.00248756218905473,0.216417910447761,0.513014964289934,0.513014964289934,1
0.00248756218905473,0.221393034825871,0.512315090304561,0.512315090304561,1
0.00248756218905473,0.22636815920398,0.511816402652982,0.511816402652982,1
0.00248756218905473,0.23134328358209,0.511513323206719,0.511513323206719,1
0.00248756218905473,0.236318407960199,0.511403026396331,0.511403026396331,1
0.00248756218905473,0.241293532338308,0.511485409204347,0.511485409204347,1
0.00248756218905473,0.246268656716418,0.511763087850359,0.511763087850359,1
0.00248756218905473,0.251243781094527,0.51224142091328,0.51224142091328,1
0.00248756218905473,0.256218905472637,0.512928558567031,0.512928558567031,1
0.00248756218905473,0.261194029850746,0.513835517517568,0.513835517517568,1
0.00248756218905473,0.266169154228856,0.514976281105977,0.514976281105977,1
0.00248756218905473,0.271144278606965,0.516367923867363,0.516367923867363,1
0.00248756218905473,0.276119402985075,0.518030759589952,0.518030759589952,1
0.00248756218905473,0.281094527363184,0.519988511581672,0.519988511581672,1
0.00248756218905473,0.286069651741294,0.52226850339766,0.52226850339766,1
0.00248756218905473,0.291044776119403,0.524901867682558,0.524901867682558,1
0.00248756218905473,0.296019900497512,0.527923770001342,0.527923770001342,1
0.00248756218905473,0.300995024875622,0.531373643530954,0.531373643530954,1
0.00248756218905473,0.305970149253731,0.535295429213172,0.535295429213172,1
0.00248756218905473,0.310945273631841,0.53973781436896,0.53973781436896,1
0.00248756218905473,0.31592039800995,0.544754460776694,0.544754460776694,1
0.00248756218905473,0.32089552238806,0.550404210739181,0.550404210739181,1
