ProfileId,Status,InitialSeed,SolverSeed,InitialCount,SequentialBudget,PrimaryCandidateCount,ChallengerCandidateCount,ObjectiveFeatureCount,FinalFeasibleCount,ParetoPointCount,FallbackCount,ElapsedSeconds,RunDirectory,SourceManifestSHA256,Interpretation
shipped,completed,2026072406,2026072506,20,130,1024,512,256,100,17,0,29.5105736,@STUDY_ROOT@/shipped/ctsemo_20260724_113348_665_seed2026072506,e5d002a87aeaa70c1a2feff57d88fc40c41b0715e1409b0e9d8c6c50120facca,Computational sensitivity only; not an authoritative benchmark or superiority comparison.
higher_compute,completed,2026072406,2026072506,20,130,2048,1024,1000,107,14,0,33.3069756,@STUDY_ROOT@/higher_compute/ctsemo_20260724_113418_351_seed2026072506,e5d002a87aeaa70c1a2feff57d88fc40c41b0715e1409b0e9d8c6c50120facca,Computational sensitivity only; not an authoritative benchmark or superiority comparison.
